nome,nparti,semana,ano,data,cidade,estado,5km,10km,21km,42km
BOTA PRA CORRER - RIO DE JANEIRO - 2025,6499,40,2025,28/09/2025,RIO DE JANEIRO,RJ,1,1,0,0
VASCORRIDA 2025,6411,40,2025,28/09/2025,RIO DE JANEIRO,RJ,1,1,0,0
CIRCUITO DAS ESTACOES 2025 - PRIMAVERA - RECIFE,6384,39,2025,21/09/2025,RECIFE,PE,1,1,1,0
MARATONA INTERNACIONAL DE POMERODE 2025,6369,44,2025,26/10/2025,POMERODE,SC,0,1,1,1
SESC NAS PONTES 2025,6324,40,2025,28/09/2025,BRASILIA,DF,1,1,1,0
CORRIDA DE CARNAVAL,6321,7,2026,08/02/2026,RIO DE JANEIRO,RJ,1,0,0,0
VYBBE RUN SUNSET,6300,45,2025,08/11/2025,FORTALEZA,CE,1,1,0,0
CHOQUE RUN 2025,6284,39,2025,21/09/2025,BELO HORIZONTE,MG,1,1,0,0
ILUMINA PARANA - CURITIBA - VALIDO PELO RANKING CORRIDAS AENT - ETAPA 1,6191,8,2026,21/02/2026,CURITIBA,PR,1,1,0,0
ASICS GOLDEN RUN RIO DE JANEIRO 2025,6079,29,2025,13/07/2025,RIO DE JANEIRO,RJ,0,1,1,0
34 CORRIDA DO FOGO - CBMDF,6062,25,2025,15/06/2025,BRASILIA,DF,1,1,0,0
CIRCUITO DAS ESTACOES 2025 - INVERNO - BELO HORIZONTE,6032,29,2025,13/07/2025,BELO HORIZONTE,MG,1,1,1,0
CIRCUITO DAS ESTACOES 2025 - VERAO - RECIFE,5987,47,2025,16/11/2025,RECIFE,PE,1,1,0,0
ATHENAS RUN STRONGER 2025,5975,25,2025,15/06/2025,SAO PAULO,SP,0,1,1,1
CIRCUITO DAS ESTACOES 2025 - PRIMAVERA - FORTALEZA,5927,38,2025,14/09/2025,FORTALEZA,CE,1,1,1,0
CIRCUITO DAS ESTACOES 2025 - INVERNO - FORTALEZA,5871,27,2025,29/06/2025,FORTALEZA,CE,1,1,1,0
MEIA MARATONA EU AMO RECIFE - 12 EDICAO,5862,39,2025,27/09/2025,RECIFE,PE,1,1,1,0
CIRCUITO DAS ESTACOES 2025 - INVERNO - RECIFE,5832,28,2025,06/07/2025,RECIFE,PE,1,1,1,0
CORRIDA ESG PIRACICABA - 2025,5796,32,2025,03/08/2025,PIRACICABA,SP,0,1,0,0
CIRCUITO LIGHT RIO ANTIGO - ETAPA PORTO MARAVILHA,5789,49,2025,30/11/2025,RIO DE JANEIRO,RJ,1,1,0,0
9 CORRIDA E CAMINHADA DO MERCADO CENTRAL,5767,24,2025,08/06/2025,BELO HORIZONTE,MG,1,1,0,0
CIRCUITO DE CORRIDAS SANEPAR 2025 - ETAPA CURITIBA,5737,51,2025,14/12/2025,CURITIBA,PR,1,1,0,0
NIGHT RUN 2025 - ETAPA 1 - BRASILIA,5727,44,2025,01/11/2025,BRASILIA,DF,1,1,1,0
7 CORRIDA FESTIVAL PORTO CIDADE 2026,5717,6,2026,01/02/2026,SANTOS,SP,0,1,0,0
21K TERRA DA LUZ - 2025,5697,51,2025,14/12/2025,FORTALEZA,CE,0,1,1,0
CORRIDA DA INDEPENDENCIA NO MUSAL,5688,39,2025,21/09/2025,RIO DE JANEIRO,RJ,1,0,0,0
8 MARATONA SOROCABA NOVEMBRO AZUL,5681,49,2025,30/11/2025,SOROCABA,SP,1,1,1,1
8 CIRCUITO PERMANENTE RUN,5624,43,2025,19/10/2025,MACEIO,AL,1,1,1,0
CORRIDA DA BANDEIRA,5602,47,2025,16/11/2025,RIO DE JANEIRO,RJ,1,0,0,0
CIRCUITO DAS ESTACOES 2025 - VERAO - BELO HORIZONTE,5600,49,2025,30/11/2025,BELO HORIZONTE,MG,1,1,0,0
CIRCUITO DO SOL - RIO DE JANEIRO 2026,5581,6,2026,01/02/2026,RIO DE JANEIRO,RJ,1,1,1,0
58 CORRIDA SARGENTO GONZAGUINHA,5568,51,2025,14/12/2025,SAO PAULO,SP,1,0,1,0
CORRIDA DE NATAL 2025 - CAMPOS DOS AFONSOS MUSAL,5545,51,2025,14/12/2025,RIO DE JANEIRO,RJ,1,0,0,0
